year,subdivision,million_60kgs_bag,nonbear_mill_trees,bear_mill_trees,avg_unemp_perc,temperature,relative humidity,precipitation,surface pressure
2012,Minas Gerais,23.5,835.0,5760.0,6.975,,,,
2013,Minas Gerais,28.5,1000.0,5860.0,6.65,,,,
2014,Minas Gerais,29.4,1055.0,5810.0,6.8,,,,
2014,Minas Gerais,29.4,1055.0,5810.0,6.8,,,,
2015,Minas Gerais,26.0,1185.0,5770.0,8.625,,,,
2016,Minas Gerais,25.3,1125.0,5735.0,11.2,,,,
2017,Minas Gerais,32.5,1300.0,5640.0,12.25,,,,
2019,Minas Gerais,34.2,1150.0,5740.0,10.1,,,,
2020,Minas Gerais,29.1,1230.0,5700.0,12.75,,,,
2021,Minas Gerais,34.8,1050.0,6200.0,11.65,,,,
2022,Minas Gerais,24.5,1500.0,6010.0,7.15,18.6,78.0,0.0,911.4
2023,,,,,,20.7,78.0,0.0,913.4
